TAXA	HAGenBank	NAGenBank	DESCRIPTION
F0001	CY016811	CY016813	(A/chicken/Cote d'Ivoire/1787-34/2006(H5N1))
F0002	CY016803	CY016805	(A/duck/Cote d'Ivoire/1787-18/2006(H5N1))
F0003	CY017059	CY017061	(A/chicken/Viet Nam/17/2005(H5N1))
F0004	CY017035	CY017037	(A/cygnus olor/Italy/742/2006(H5N1))
F0005	CY016835	CY016837	(A/chicken/Viet Nam/2/2005(H5N1))
F0006	CY016795	CY016797	(A/mallard/Italy/835/2006(H5N1))
F0007	CY016851	CY016853	(A/chicken/Viet Nam/8/2005(H5N1))
F0008	CY020349	CY020351	(A/cygnus olor/Italy/808/2006(H5N1))
F0009	CY017043	CY017045	(A/swan/Slovenia/760/2006(H5N1))
F0010	CY016859	CY016861	(A/chicken/Viet Nam/9/2005(H5N1))
F0011	CY016907	CY016909	(A/chicken/Nigeria/1047-8/2006(H5N1))
F0012	CY016899	CY016901	(A/duck/Egypt/2253-3/2006(H5N1))
F0013	CY016779	CY016781	(A/cygnus cygnus/Iran/754/2006(H5N1))
F0014	CY016891	CY016893	(A/duck/Viet Nam/20/2005(H5N1))
F0015	CY017027	CY017029	(A/duck/Niger/914/2006(H5N1))
F0016	CY016939	CY016941	(A/chicken/Nigeria/1047-30/2006(H5N1))
F0017	CY016819	CY016821	(A/cygnus olor/Croatia/1/2005(H5N1))
F0018	CY016915	CY016917	(A/ostrich/Nigeria/1047-25/2006(H5N1))
F0019	CY016300	CY016302	(A/chicken/Sudan/1784-10/2006(H5N1))
F0020	CY016827	CY016829	(A/duck/Viet Nam/1/2005(H5N1))
F0021	CY016875	CY016877	(A/chicken/Viet Nam/11/2005(H5N1))
F0022	CY016284	CY016286	(A/chicken/Nigeria/957-20/2006(H5N1))
F0023	CY016867	CY016869	(A/chicken/Viet Nam/10/2005(H5N1))
F0024	CY016787	CY016789	(A/chicken/Afghanistan/1207/2006(H5N1))
F0025	CY017179	CY017181	(A/guinea fowl/Nigeria/957-12/2006(H5N1))
F0026	CY016276	CY016278	(A/chicken/Nigeria/641/2006(H5N1))
F0027	CY016292	CY016294	(A/chicken/Sudan/1784-7/2006(H5N1))
F0028	CY016931	CY016933	(A/chicken/Nigeria/1047-62/2006(H5N1))
F0029	CY016947	CY016949	(A/chicken/Nigeria/1047-34/2006(H5N1))
F0030	CY017187	CY017189	(A/duck/Viet Nam/19/2005(H5N1))
F0031	CY017051	CY017053	(A/quail/Viet Nam/15/2005(H5N1))
F0032	CY016843	CY016845	(A/chicken/Viet Nam/6/2005(H5N1))
F0033	CY016923	CY016925	(A/chicken/Nigeria/1047-54/2006(H5N1))
F0034	CY017067	CY017069	(A/duck/Viet Nam/18/2005(H5N1))
F0035	CY016883	CY016885	(A/duck/Viet Nam/12/2005(H5N1))
